"filename", "language", "GLSL", "C++", "comment", "blank", "total"
"e:\Dev\Games\RaptureVK\Editor\src\EntryPoint.h", "C++", 0, -5, -2, -2, -9
"e:\Dev\Games\RaptureVK\Editor\src\Layers\TestLayer.cpp", "C++", 0, -166, -27, -88, -281
"e:\Dev\Games\RaptureVK\Editor\src\Layers\TestLayer.h", "C++", 0, -34, -5, -19, -58
"e:\Dev\Games\RaptureVK\Editor\src\Layers\imguiLayer.cpp", "C++", 0, -441, -31, -126, -598
"e:\Dev\Games\RaptureVK\Editor\src\Layers\imguiLayer.h", "C++", 0, -60, -3, -19, -82
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\BrowserPanel.cpp", "C++", 0, -211, -37, -75, -323
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\BrowserPanel.h", "C++", 0, -36, -10, -23, -69
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\ContentBrowserPanel.cpp", "C++", 0, -247, -23, -94, -364
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\ContentBrowserPanel.h", "C++", 0, -39, -7, -15, -61
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\GBufferPanel.cpp", "C++", 0, -171, -21, -31, -223
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\GBufferPanel.h", "C++", 0, -19, 0, -6, -25
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\IconsMaterialDesign.h", "C++", 0, -2239, -4, -4, -2247
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\ImageViewerPanel.cpp", "C++", 0, -107, -17, -25, -149
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\ImageViewerPanel.h", "C++", 0, -20, 0, -7, -27
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\ProprtiesPanel.cpp", "C++", 0, -470, -47, -143, -660
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\ProprtiesPanel.h", "C++", 0, -26, -1, -11, -38
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\SettingsPanel.cpp", "C++", 0, -58, 0, -31, -89
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\SettingsPanel.h", "C++", 0, -11, 0, -7, -18
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\ViewportPanel.cpp", "C++", 0, -246, -38, -77, -361
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\ViewportPanel.h", "C++", 0, -28, -4, -17, -49
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\imguiPanelStyle.h", "C++", 0, -201, -45, -43, -289
"e:\Dev\Games\RaptureVK\Editor\src\imguiPanels\imguiPanelStyleLinear.h", "C++", 0, -260, -54, -56, -370
"e:\Dev\Games\RaptureVK\Editor\src\main.cpp", "C++", 0, -15, -4, -8, -27
"e:\Dev\Games\RaptureVK\Editor\src\source.cpp", "C++", 0, -41, -11, -13, -65
"e:\Dev\Games\RaptureVK\Editor\src\vendor\ImGuizmo\ImGuizmo.cpp", "C++", 0, -2521, -181, -442, -3144
"e:\Dev\Games\RaptureVK\Editor\src\vendor\ImGuizmo\ImGuizmo.h", "C++", 0, -173, -101, -32, -306
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\BindingsCommon.glsl", "GLSL", 9, 0, 4, 9, 22
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\DeferredLighting.fs.glsl", "GLSL", 363, 0, 91, 133, 587
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\DeferredLighting.vs.glsl", "GLSL", 30, 0, 5, 10, 45
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Flatten2dArray.cs.glsl", "GLSL", 41, 0, 9, 17, 67
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\FlattenDepthArray.cs.glsl", "GLSL", 31, 0, 14, 17, 62
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\GBuffer.fs.glsl", "GLSL", 89, 0, 21, 27, 137
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\GBuffer.vs.glsl", "GLSL", 68, 0, 21, 25, 114
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Generators\PerlinNoise.cs.glsl", "GLSL", 77, 0, 6, 19, 102
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\InstancedShapes.fs.glsl", "GLSL", 12, 0, 0, 3, 15
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\InstancedShapes.vs.glsl", "GLSL", 49, 0, 2, 14, 65
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\PBR.fs.glsl", "GLSL", 146, 0, 23, 46, 215
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\PBR.vs.glsl", "GLSL", 29, 0, 7, 11, 47
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Shadows\CascadedShadowPass.vs.glsl", "GLSL", 28, 0, 11, 13, 52
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Shadows\ShadowPass.vs.glsl", "GLSL", 9, 0, 2, 8, 19
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Skybox.fs.glsl", "GLSL", 13, 0, 6, 7, 26
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\Skybox.vs.glsl", "GLSL", 18, 0, 9, 9, 36
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\StencilBorder.fs.glsl", "GLSL", 22, 0, 4, 9, 35
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\StencilBorder.vs.glsl", "GLSL", 27, 0, 4, 10, 41
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\IrradianceCommon.glsl", "GLSL", 131, 0, 62, 68, 261
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\MeshCommon.glsl", "GLSL", 0, 0, 0, 1, 1
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeBlending.cs.glsl", "GLSL", 203, 0, 50, 87, 340
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeClassification.cs.glsl", "GLSL", 92, 0, 39, 29, 160
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeCommon.glsl", "GLSL", 242, 0, 128, 98, 468
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeRelocation.cs.glsl", "GLSL", 74, 0, 32, 28, 134
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\ddgi\ProbeTrace.cs.glsl", "GLSL", 281, 0, 64, 93, 438
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\default.fs.glsl", "GLSL", 10, 0, 0, 4, 14
"e:\Dev\Games\RaptureVK\Engine\assets\shaders\glsl\default.vs.glsl", "GLSL", 17, 0, 1, 5, 23
"Total", "-", 2111, -7845, -58, -614, -6406